pol_number,gender,agecat,credit_score,area,traffic_index,veh_age,veh_body,veh_value,person_age,numclaims,claimcst0
70351647,F,3,739,5,79.5,4,STNWG,1.804,44,0,0
88126604,F,3,569,2,127.1,3,SEDAN,1.419,43,2,631
41008622,F,4,548,4,104.3,3,HBACK,0.924,55,0,1226
90778754,F,3,700,1,74.9,2,SEDAN,1.914,50,0,0
79199650,F,4,383,2,112.8,2,SEDAN,1.914,59,1,0
59767975,F,2,308,4,58.9,2,COUPE,2.299,32,0,0
86762179,F,3,605,1,43.3,1,STNWG,5.269,49,0,2730
24465371,F,1,522,3,142.5,1,STNWG,3.135,26,2,329
62433408,M,6,609,3,145.5,2,SEDAN,2.453,93,1,0
60175762,F,6,821,3,132,2,SEDAN,2.277,73,0,17570
58041265,F,4,606,3,135,3,HBACK,0.858,56,2,462
10357889,M,1,501,6,134,4,STNWG,1.881,32,2,124
20226709,M,3,746,3,150,4,SEDAN,0.968,47,0,1348
58441092,F,2,673,1,76.7,2,HBACK,1.155,33,0,749
40675308,M,4,323,3,144,2,HBACK,1.309,57,1,81
30914826,F,4,692,3,141,4,STNWG,1.661,54,0,0
27775380,M,3,757,1,74.1,1,HBACK,1.947,45,0,443
38584335,M,3,591,6,112,4,PANVN,1.034,44,2,0
63027643,F,5,817,1,105.6,2,STNWG,2.574,66,0,0
29254772,M,5,792,4,28.7,2,TRUCK,2.739,65,0,3292
88915647,M,2,624,5,66,2,STNWG,4.554,34,1,23259
22311741,M,4,625,2,137.3,3,HBACK,1.012,57,0,295
96790918,F,3,545,2,121.3,1,SEDAN,2.838,35,2,631
59670609,F,4,776,2,128.1,4,HBACK,0.506,57,0,353
40414040,M,3,774,2,113.4,2,STNWG,2.618,50,0,7245
78211205,F,4,670,1,76.3,2,SEDAN,1.606,59,4,0
48079342,F,1,702,6,138,3,UTE,2.057,27,3,13620
19835289,M,5,834,1,104.9,3,SEDAN,1.243,65,0,0
82005648,M,6,820,5,104.4166358,2,SEDAN,2.002,87,0,0
50521730,M,3,786,2,114.8,3,PANVN,1.584,45,0,0
35284927,F,1,377,2,111.1,3,SEDAN,0.924,27,1,1668
80614445,F,3,661.3218455,1,104.4166358,4,STNWG,2.761,45,1,1749
40995870,M,6,837,1,107.3,4,UTE,1.32,72,0,0
33525535,F,5,734,3,112.5,2,STNWG,2.398,67,0,0
28840212,M,1,427,2,124.8,2,HBACK,1.639,26,2,1249
64647357,F,6,317,2,128.8,4,HBACK,0.495,-5,0,0
26555735,M,5,720,3,150,3,SEDAN,1.749,71,4,391
64044510,M,1,661.3218455,2,129,4,STNWG,1.738,25,0,0
86788628,F,4,831,6,122,4,UTE,2.244,57,0,8715
58892381,F,6,780,3,150,4,HDTOP,2.101,81,3,3043
72024841,M,5,740,3,79.5,4,SEDAN,0.814,69,0,1104
52482196,F,3,662,4,144.5,2,SEDAN,1.881,52,3,0
71587239,M,3,580,6,120,3,HBACK,2.563,50,2,129
61721456,F,2,612,5,30,2,UTE,3.421,39,0,0
70419389,M,3,608,5,33,1,SEDAN,2.365,43,3,0
33707780,F,2,514,3,135,2,TRUCK,3.817,39,1,0
42113389,M,5,842,3,129,2,SEDAN,2.563,69,1,1435
74984367,M,3,505,3,144,2,SEDAN,2.123,49,2,0
30882461,F,5,760,3,104.4166358,4,HBACK,0.715,63,0,2476
74192483,F,3,654,2,107.2,2,STNWG,4.675,51,0,5280
96904165,M,3,634,3,129,2,HBACK,3.41,45,0,0
14324440,F,4,686,1,94.3,4,STNWG,1.573,57,0,0
90354813,M,4,666,4,49.6,4,SEDAN,1.276,56,2,667
27643334,F,4,637,3,147,3,SEDAN,1.265,55,0,161
79091079,F,6,802,5,19.5,4,SEDAN,1.001,81,0,0
30705397,F,3,829,3,100.5,2,SEDAN,1.837,82,0,0
99448509,F,2,695,6,136,2,STNWG,4.708,41,0,0
86865070,M,4,598,3,133.5,3,TRUCK,0.891,57,1,935
66975365,F,5,805,3,147,3,HBACK,1.001,65,0,234
86039465,M,4,615,1,68.3,1,UTE,3.52,56,1,12237
59573682,F,1,753,2,98.4,1,HBACK,1.617,26,0,0
76504029,M,3,639,3,133.5,3,HBACK,1.936,33,1,476
37979830,M,5,818,3,136.5,3,SEDAN,2.079,65,0,0
71558209,M,2,507,1,106.1,2,SEDAN,1.617,39,3,0
35985373,M,1,501,4,115.8,4,HDTOP,2.101,23,1,13065
42724250,M,5,735,1,66.7,3,HBACK,0.924,71,2,0
49728880,M,3,335,1,81.3,1,HBACK,2.354,62,3,7618
22298802,F,4,769,3,138,1,HBACK,1.386,57,0,0
83509006,M,4,745,3,147,3,HBACK,0.957,55,0,875
39696629,F,2,792,4,73.9,3,STNWG,1.001,41,1,898
73824358,M,3,815,3,126,3,STNWG,2.332,91,2,12430
24252261,F,3,661,1,91.4,1,HBACK,1.65,45,2,1605
20418803,M,3,329,2,102.9,3,HBACK,0.913,43,3,0
17105008,F,4,738,3,135,1,HBACK,2.497,55,0,930
96341183,M,3,605,3,145.5,2,STNWG,4.114,45,4,1403
28788004,M,3,840,1,70.2,2,SEDAN,1.991,50,0,6588
56356243,M,2,798,3,132,3,UTE,1.694,36,0,5488
19344512,F,4,658,3,144,3,HBACK,1.254,58,0,0
45327061,F,3,734,2,104.4166358,2,HBACK,3.619,43,0,0
90232085,M,1,732,6,102,3,STNWG,3.212,30,0,0
17413980,F,2,793,2,104.8,1,HBACK,2.4178,39,3,0
21321014,F,3,628,5,24,1,SEDAN,1.76,45,2,10397
86311211,F,4,823,3,132,1,HBACK,1.463,58,0,1474
20222663,F,4,659,3,142.5,3,SEDAN,1.177,59,0,161
41892067,F,5,722,5,104.4166358,4,SEDAN,0.825,72,1,0
57563548,F,2,370,4,150.3,4,SEDAN,0.396,40,2,1736
99966532,F,5,830,4,136.3,2,SEDAN,1.826,64,0,0
96967212,F,2,667,1,62.8,1,SEDAN,3.52,41,0,0
65586727,M,3,677,3,111,1,UTE,1.991,61,1,0
95679458,F,3,798,3,114,2,SEDAN,2.002,47,0,0
71506898,M,3,618,3,145.5,1,HBACK,2.541,49,1,2663
42404463,M,5,752,1,87.5,2,SEDAN,2.156,64,0,0
63026852,M,1,661.3218455,3,144,1,HBACK,1.628,28,1,2676
97109188,F,4,766,2,137,1,STNWG,5.7596,60,2,2730
63063602,F,4,840,3,100.5,3,STNWG,3.366,58,0,0
15114875,F,6,497,5,104.4166358,1,HBACK,1.43,-4,5,195
64059175,M,6,822,3,144,4,SEDAN,0.319,76,3,5024
12388961,F,4,749,3,127.5,3,SEDAN,1.32,56,0,149
39377008,F,4,477,4,32.6,3,HBACK,1.298,52,1,1226
23268226,F,5,716,2,73.1,4,HBACK,0.341,64,0,0
43024825,F,3,637,4,84.7,2,TRUCK,3.256,44,0,1674
67917895,M,3,845,2,110,1,STNWG,5.7596,45,0,4125
68467258,F,6,804,1,102.3,3,HBACK,0.847,81,0,0
19884525,M,3,831,1,104.4166358,3,HDTOP,2.585,50,0,9232
60909890,M,3,455,2,109.6,4,STNWG,1.826,46,3,217
94153402,M,5,774,5,28.5,2,HBACK,1.43,68,0,6835
62063653,F,6,755,1,70.7,4,SEDAN,0.429,79,2,7086
51124395,M,6,847,1,99.9,3,SEDAN,1.595,82,2,1359
16471056,M,5,795,3,144,4,STNWG,0.462,66,1,0
94242530,F,6,442,3,104.4166358,4,SEDAN,1.045,75,0,0
93723052,F,6,821,3,142.5,3,SEDAN,1.342,90,0,0
85484639,M,2,687,2,105.1,3,HBACK,0.935,39,2,161
97845101,F,3,681,4,119.8,3,HBACK,0.957,44,0,6250
40636596,M,5,701,3,142.5,4,STNWG,2.189,71,1,0
50437265,M,3,769,3,121.5,3,STNWG,3.124,52,0,1607
84596355,F,3,559,2,88.9,3,HBACK,1.034,55,0,0
45633214,M,6,815,1,84.4,4,PANVN,0.506,76,1,1703
13788522,F,3,626,3,147,3,STNWG,3.344,46,0,0
30496478,M,5,708,4,146.3,2,SEDAN,2.112,64,2,6371
32696326,F,3,529,1,88.5,3,SEDAN,0.957,44,4,0
81440264,F,3,626,1,70,1,STNWG,4.279,43,5,1749
55157234,F,3,613,1,108.2,3,HBACK,1.133,51,0,0
96239556,M,3,733,3,148.5,2,HBACK,1.21,74,0,30464
33554925,F,2,572,1,72.9,1,HBACK,2.42,37,1,1530
41862387,M,4,661.3218455,1,58.7,4,HBACK,0.374,56,0,0
16571976,F,5,773,1,59.7,3,HBACK,0.847,67,0,0
45018336,M,2,747,2,141.1,2,HBACK,1.628,40,0,0
18389301,M,1,633,3,150,4,UTE,1.353,24,1,1100
32296564,M,3,812,2,176.3,3,PANVN,1.947,47,3,0
14891370,F,3,539,3,144,4,SEDAN,1.353,44,2,1002
42080252,F,3,661.3218455,5,27,1,STNWG,4.895,52,1,7124
17938894,M,3,738,2,102.7,1,STNWG,5.2789,48,4,8026
83899337,F,1,327,3,132,1,SEDAN,2.673,31,2,2292
88517272,M,4,814,2,104.4166358,1,SEDAN,2.662,61,0,11016
17147896,F,5,827,3,126,2,HBACK,1.43,68,1,0
97366133,F,1,695,3,112.5,3,HBACK,0.803,26,0,0
36005718,M,5,761,3,129,1,STNWG,3.509,63,1,295
27901427,M,4,723,1,115.4,3,UTE,2.09,55,2,719
48773697,F,3,691,5,104.4166358,3,SEDAN,1.397,28,0,0
43756343,M,5,764,1,81.2,1,STNWG,3.531,72,1,14252
49487144,F,3,446,4,84.1,3,HBACK,1.089,31,1,689
66256052,F,3,690,1,52.8,2,SEDAN,6.149,47,0,2171
71663392,F,2,799,2,139.9,4,SEDAN,0.869,39,0,3353
23433585,M,3,624,6,104.4166358,3,STNWG,2.453,47,2,604
16501570,F,1,584,1,121.5,2,HBACK,2.079,30,2,0
96140143,F,2,592,3,85.5,2,HBACK,1.65,39,3,0
80007487,F,6,840,1,90.9,2,HBACK,1.727,75,0,0
93260027,M,4,571,5,42,2,SEDAN,1.98,55,1,0
34664260,M,5,784,4,149.1,2,STNWG,4.499,70,1,17471
75116404,M,3,739,4,81.7,2,SEDAN,1.98,68,1,5410
75463088,M,6,740,1,65.3,1,SEDAN,2.816,84,2,12954
82548333,M,3,695,2,95.4,4,SEDAN,1.067,44,1,132
71631268,M,4,666,3,123,4,HBACK,0.726,53,3,912
65346415,F,5,433,2,128.4,2,SEDAN,1.793,66,2,0
97018762,F,6,794,3,147,3,SEDAN,1.408,83,1,0
33156533,F,3,848,3,120,3,SEDAN,1.573,43,0,0
99888312,F,4,551,2,94,2,HBACK,1.969,55,2,0
72155733,F,4,650,3,145.5,2,STNWG,4.444,52,0,0
83831672,F,4,658,5,88.5,2,STNWG,3.08,60,1,0
50610056,F,5,846,1,110.9,3,HBACK,1.496,66,0,0
58376151,F,3,837,5,30,4,UTE,1.331,53,0,0
29706940,F,3,700,2,124.1,4,SEDAN,0.429,44,0,1688
72883678,F,2,658,2,128.9,4,SEDAN,0.429,35,2,3353
51908956,F,3,821,2,141.3,3,SEDAN,1.386,45,0,2744
22037188,F,5,779,3,147,3,SEDAN,1.364,70,0,0
56715871,M,6,843,1,104.4166358,1,STNWG,6.655,72,1,20694
65072634,F,2,662,4,105.5,2,STNWG,4.026,39,4,3081
97015794,F,3,791,3,88.5,3,HBACK,1.353,44,0,0
56695883,F,3,803,1,96.9,4,SEDAN,0.781,45,0,0
98772743,M,1,625,1,81,2,STNWG,4.015,31,1,34634
49269535,M,3,760,3,124.5,4,STNWG,1.342,45,3,2294
55539601,M,4,628,4,102,4,MCARA,2.871,52,1,52216
85335599,F,4,530,3,150,2,STNWG,2.585,58,0,0
83868360,M,5,832,3,138,4,HBACK,0.726,63,1,0
38746669,F,5,713,2,121.8,2,SEDAN,2.266,63,0,0
15173126,M,2,779,3,148.5,4,STNWG,2.453,37,3,2950
92718215,M,2,566,4,116.4,3,STNWG,2.343,41,2,2523
76042724,F,1,661.3218455,2,114.7,3,HBACK,1.199,29,0,0
10720815,M,4,601,3,126,2,HBACK,1.551,52,0,1721
94527247,F,5,712,4,83.6,1,HBACK,2.563,65,2,0
85889661,F,3,666,3,126,1,HBACK,2.2,51,0,0
42699886,F,6,806,1,71.3,2,HBACK,1.408,75,0,2940
68677055,F,1,658,3,145.5,3,SEDAN,1.584,24,0,0
90498436,M,2,661.3218455,5,72,3,UTE,2.915,41,2,2176
57543882,F,2,316,2,104.4166358,2,STNWG,3.564,32,2,597
29758496,M,4,370,3,145.5,4,STNWG,2.189,57,3,0
25956145,F,4,817,2,154.3,4,SEDAN,0.814,59,0,0
33292156,F,4,710,1,97.4,3,SEDAN,0.935,52,0,2704
74092999,M,2,412,1,74.6,4,HBACK,1.265,39,1,0
80443614,F,3,669,2,128.1,4,MIBUS,1.903,40,0,0
42932237,F,2,684,2,96.8,2,HBACK,1.276,33,0,7455
55222633,F,1,769,6,84,4,UTE,1.672,25,0,13620
48809085,F,3,622,1,66,3,SEDAN,2.167,58,0,6948
74654542,M,5,713,1,116.6,2,SEDAN,1.892,67,0,1322
97143295,F,6,663,1,76.4,3,SEDAN,1.551,95,2,6229
75757252,F,2,788,3,99,2,STNWG,3.322,35,0,0
28227138,M,2,403,2,138.9,4,TRUCK,1.287,33,1,0
82445314,M,4,755,3,148.5,3,HBACK,0.979,53,0,875
30884490,F,4,600,3,111,2,HBACK,1.221,59,0,0
36717592,F,2,723,4,110.9,4,SEDAN,0.682,35,1,5373
93191087,M,3,736,1,101,2,HDTOP,4.323,77,0,10872
26801990,M,3,739,1,78.8,3,STNWG,2.266,47,2,10339
80539653,F,3,750,6,82,3,STNWG,4.4,52,0,0
29753490,M,3,811,3,141,4,STNWG,0.55,44,3,182
81120147,M,5,716,4,99.3,1,STNWG,4.95,65,1,456
45566947,M,4,754,3,130.5,4,STNWG,1.661,57,0,0
89241650,F,2,578,2,117.5,4,HBACK,1.518,33,2,4018
25939406,F,5,671,3,148.5,4,SEDAN,0.627,62,0,0
13142458,F,3,711,3,144,3,SEDAN,1.463,67,1,27030
82006975,M,4,675,3,111,3,SEDAN,1.023,55,1,0
97302375,M,4,845,3,104.4166358,3,SEDAN,1.122,53,0,940
21106902,F,6,811,2,87.3,2,SEDAN,1.727,89,0,0
58769686,F,3,618,4,108.6,3,SEDAN,1.32,47,2,1736
80248668,M,6,821,1,82.9,4,SEDAN,1.034,85,0,16878
73008023,F,3,722,3,145.5,3,SEDAN,1.122,50,0,0
21192799,M,3,658,3,87,3,STNWG,1.243,50,0,190
88979391,F,3,763,4,35.5,1,SEDAN,2.046,51,0,23295
16225398,F,5,841,3,144,4,HBACK,0.451,64,0,0
10474857,M,6,607,1,53,4,SEDAN,0.583,73,1,2540
58612572,M,3,601,3,142.5,3,UTE,1.397,42,3,5488
50641898,F,3,804,3,144,3,SEDAN,1.265,45,1,0
46732730,F,4,470,6,58,3,STNWG,2.255,62,1,0
25998832,F,2,639,1,76.8,1,SEDAN,2.453,36,0,865
99053399,F,4,552,3,136.5,3,HBACK,2.057,56,2,0
86379303,M,2,648,2,136.1,4,HDTOP,1.837,35,2,2364
68281443,F,4,396,4,101.4,4,STNWG,1.969,61,1,0
60009143,M,5,754,3,150,2,STNWG,2.486,70,2,0
55020004,F,3,604,3,120,4,STNWG,0.792,27,1,586
62775292,F,4,723,3,145.5,1,STNWG,3.355,58,0,0
83331573,M,3,578,1,82.6,3,SEDAN,1.925,58,2,0
87962225,M,2,844,2,105.2,1,STNWG,3.201,41,0,12008
25703519,M,3,554,4,47.1,4,UTE,1.496,48,1,3154
19684156,M,5,559,2,70,4,STNWG,0.385,70,3,341
43395404,F,4,610,1,96.9,3,HBACK,1.232,60,0,0
24646967,M,5,538,1,106.4,3,SEDAN,2.046,65,2,0
76659743,F,4,805,4,128.4,3,HBACK,1.419,59,0,0
80095694,M,4,517,1,74,3,HBACK,1.683,56,2,0
55006679,M,2,653,2,119.2,4,SEDAN,0.385,35,2,0
20582327,F,3,661.3218455,1,81.1,3,MIBUS,2.805,42,0,0
90245775,M,4,807,5,58.5,3,HBACK,0.847,58,0,331
45045085,M,4,698,3,115.5,4,COUPE,2.09,57,2,1078
38659393,M,2,640,3,112.5,2,STNWG,2.783,32,1,907
28183262,F,3,841,1,50.7,1,HBACK,2.3089,44,0,1605
73850823,F,3,624,6,132,2,STNWG,3.003,30,0,0
62684339,F,3,741,4,39.7,3,SEDAN,1.551,48,0,1975
41163529,F,4,506,3,124.5,3,STNWG,2.387,56,0,0
39057592,M,3,519,4,105,4,COUPE,2.145,50,2,439
42713694,F,1,395,2,139.1,4,SEDAN,0.803,23,4,3682
99877804,M,2,430,2,118.2,1,HBACK,1.441,34,1,7261
55336883,M,1,797,1,119.6,4,COUPE,0.55,24,2,533
39398366,F,1,661.3218455,3,142.5,1,STNWG,4.796,23,0,3523
97840321,F,2,465,2,104.1,3,STNWG,3.245,37,3,8170
39718924,M,4,731,1,109.5,3,STNWG,1.166,57,0,0
96206889,F,2,484,6,90,3,STNWG,3.641,34,2,0
93079598,F,2,676,5,104.4166358,1,STNWG,6.0489,37,0,6720
69540669,F,2,395,3,142.5,2,HBACK,1.331,32,1,0
78074163,F,3,381,2,101.7,3,SEDAN,1.573,45,1,0
64570694,M,5,736,2,119.1,3,HBACK,0.957,70,1,0
20080378,M,5,819,2,128.8,1,HBACK,2.453,63,5,813
72149656,M,1,659,5,104.4166358,4,UTE,1.87,29,0,55538
48563135,F,5,732,2,139.6,4,COUPE,0.671,67,0,0
29988046,F,2,496,1,91.3,3,SEDAN,1.419,35,1,865
36114527,F,5,511,4,52.6,4,SEDAN,0.473,64,2,0
85951792,M,5,664,3,150,4,UTE,1.32,70,0,123
93336525,M,5,770,2,111.8,4,STNWG,0.979,69,2,422
81302273,M,6,479,3,133.5,1,STNWG,8.206,75,1,558
18963992,M,3,734,2,126.3,2,HBACK,1.232,44,0,0
18390177,M,4,663,5,36,3,SEDAN,1.529,53,3,655
92069486,F,3,828,2,123.3,2,STNWG,2.772,48,2,2730
31946407,M,5,758,3,130.5,3,SEDAN,1.089,63,4,0
46571664,M,3,831,3,147,4,HBACK,0.803,47,4,0
38602989,F,1,309,1,88.4,4,SEDAN,0.616,24,1,0
68928796,M,4,696,5,104.4166358,4,STNWG,1.925,62,1,0
30929580,F,3,788,2,120.5,2,COUPE,2.09,52,0,0
91075545,F,4,834,1,69.4,1,SEDAN,2.552,60,0,0
42902029,M,6,480,4,92.1,4,STNWG,1.375,91,2,262
39419198,M,4,845,5,21,1,STNWG,5.203,56,0,0
94956048,F,6,736,3,138,4,SEDAN,0.781,72,0,0
86278848,F,3,758,1,61.3,4,SEDAN,0.638,68,0,0
86782753,F,5,739,3,109.5,2,SEDAN,1.958,71,0,184
87891582,F,3,790,2,97.5,3,HBACK,1.518,42,0,0
89608402,F,3,663,2,146.7,1,HBACK,1.947,44,0,0
13803564,M,5,704,1,73.1,1,STNWG,8.162,69,4,10720
55805330,M,4,636,3,124.5,4,HBACK,0.781,55,3,1345
85967589,M,2,661.3218455,3,124.5,1,UTE,4.004,32,1,681
68479288,M,5,630,3,139.5,2,UTE,1.617,69,0,0
32380571,F,4,807,5,30,4,HDTOP,1.276,57,0,3499
80405409,F,5,829,1,70.2,2,HBACK,1.1,68,0,0
39743520,F,6,812,4,114.4,4,HBACK,0.341,75,0,0
65910465,F,4,665,1,93.8,1,HBACK,1.419,57,0,0
84936993,F,3,683,3,104.4166358,3,SEDAN,0.99,44,0,0
42938707,F,3,752,2,159,4,SEDAN,0.638,47,0,0
86545801,F,3,768,1,83.1,3,SEDAN,1.452,44,0,0
63974003,M,5,783,6,134,3,STNWG,4.4,65,0,0
42821268,M,3,605,3,104.4166358,4,HBACK,0.198,47,1,0
26097000,F,6,380,1,53.2,3,STNWG,1.331,92,0,0
76704555,M,5,734,4,50.5,3,UTE,1.771,66,1,0
94166494,M,5,758,3,144,1,TRUCK,1.892,62,1,5253
75418888,F,2,641,6,104.4166358,2,STNWG,4.488,37,0,7709
15116407,M,4,810,1,76.7,4,STNWG,0.781,62,0,0
71111575,F,4,786,2,82.4,4,STNWG,1.298,54,0,0
88579738,F,3,639,2,85.7,3,UTE,1.694,48,0,0
77591979,F,2,357,2,109.3,4,UTE,1.1,41,1,0
13709636,M,6,736,3,145.5,2,HBACK,1.023,78,0,3259
33148179,M,3,614,5,42,4,SEDAN,0.451,43,3,0
41249261,M,6,817,3,135,2,SEDAN,2.497,87,0,3379
71760912,F,2,661.3218455,2,104.4166358,3,HBACK,1.375,35,0,0
56641331,F,3,740,5,49.5,2,HBACK,1.353,49,2,0
58990750,M,3,811,4,118.4,2,UTE,3.74,54,2,0
69613889,F,2,747,1,89,3,STNWG,2.233,39,0,2266
83754336,F,1,665,2,115.9,3,HBACK,1.023,22,0,0
50295524,F,1,371,4,120.2,4,SEDAN,0.88,28,2,904
72860114,M,4,787,3,123,2,SEDAN,1.98,58,0,134
84099125,M,3,685,3,111,2,SEDAN,2.123,48,3,601
85907332,M,3,342,1,55.3,2,HBACK,1.507,29,1,0
63983701,M,3,645,3,142.5,3,HBACK,0.869,49,1,2663
44600883,F,3,628,1,97.2,2,SEDAN,1.881,45,0,6948
69143193,M,5,526,1,95.5,3,UTE,2.904,64,2,1885
62490693,M,2,321,2,169.1,4,COUPE,1.089,33,2,388
24702628,M,4,568,3,148.5,1,HBACK,1.408,57,1,215
89708898,F,3,812,2,100.3,3,BUS,3.069,51,2,10796
66558362,F,3,703,4,150.5,4,STNWG,1.881,42,0,3603
11282914,F,4,786,1,62.9,2,HBACK,1.925,55,0,0
81089130,M,3,564,3,123,4,STNWG,1.342,62,1,244
32347168,F,1,669,2,132,4,SEDAN,1.155,30,2,2507
95826974,F,1,660,3,135,2,HBACK,1.958,31,1,0
64860777,F,3,738,2,132.1,4,HBACK,0.33,49,3,0
67556199,F,4,839,5,27,2,HBACK,1.485,54,0,0
16195243,M,3,835,2,100.4,4,SEDAN,1.078,44,2,141
92836324,M,5,770,3,130.5,2,SEDAN,1.672,62,1,586
42126858,F,4,802,2,162.7,1,HBACK,1.507,58,2,0
92640875,F,4,693,5,19.5,4,HBACK,0.891,59,0,0
66095773,F,4,579,3,99,3,SEDAN,1.265,59,1,0
51211983,F,6,740,3,100.5,1,HBACK,1.573,86,0,0
34070694,M,3,713,3,112.5,3,STNWG,1.859,62,4,0
63603540,M,5,562,2,90.5,2,SEDAN,1.54,63,2,2799
53925803,F,4,819,5,22.5,3,SEDAN,2.354,61,0,0
53375209,F,4,848,1,101.9,3,SEDAN,1.166,57,0,0
20688203,F,3,627,1,83.4,3,SEDAN,1.364,44,0,0
67854271,F,2,696,5,48,4,TRUCK,1.001,35,0,0
77900644,M,5,723,1,62,2,STNWG,4.389,63,2,1063
77826094,M,2,661.3218455,4,84.2,3,STNWG,2.343,37,2,10780
17668551,F,3,646,3,130.5,3,STNWG,2.607,44,0,0
74655967,F,2,640,3,78,2,HBACK,1.254,36,0,568
24461329,M,1,688,2,120.5,2,STNWG,4.367,24,4,15061
73296114,M,4,670,6,104.4166358,4,STNWG,3.366,61,1,133
98657909,F,4,417,1,93,4,HBACK,0.902,52,2,0
28066421,F,4,661.3218455,2,111.1,2,HBACK,1.232,61,0,2033
33602214,M,2,516,3,145.5,4,STNWG,0.891,33,2,1527
91304455,M,1,338,6,70,4,HBACK,0.594,29,2,3710
99448710,F,1,679,5,21,1,STNWG,5.973,26,0,6720
87011472,F,3,603,1,82.3,4,COUPE,0.836,24,0,0
81812640,M,1,417,1,104.9,4,SEDAN,0.66,27,2,5856
13739232,F,4,830,3,130.5,3,HBACK,0.913,55,0,0
88451910,M,4,713,2,123.1,2,SEDAN,1.881,57,0,11016
57450815,F,4,843,2,114.5,3,SEDAN,1.573,60,0,0
62800170,F,2,661.3218455,3,142.5,3,HBACK,1.111,35,0,0
16159474,F,3,835,3,55.5,3,SEDAN,0.891,46,0,1002
88982429,M,4,621,1,95.6,1,UTE,3.861,60,1,0
47469364,F,3,399,2,104.9,2,STNWG,3.432,52,2,2294
24208889,M,5,839,4,131.7,3,SEDAN,1.067,68,2,6371
33950374,F,1,623,5,104.4166358,3,UTE,2.178,26,1,7270
77597545,M,3,737,3,132,4,HBACK,1.111,50,0,2663
77588911,F,2,631,4,94.2,4,STNWG,1.309,34,1,0
40149588,F,5,843,1,73.4,3,SEDAN,1.892,70,0,0
41455140,F,5,710,3,147,1,HBACK,2.057,72,0,0
25461252,M,5,754,2,131.9,4,STNWG,1.749,66,1,341
43333944,M,4,846,3,138,2,HBACK,1.606,60,4,81
56798197,F,2,673,3,112.5,1,COUPE,3.8148,41,0,0
84006739,F,3,750,2,125.3,4,HBACK,0.341,48,0,0
21757835,F,2,565,4,109.6,4,SEDAN,0.66,39,0,0
76764173,F,1,643,4,83.3,3,SEDAN,0.924,31,0,1799
88513902,F,2,625,3,142.5,4,STNWG,1.287,33,0,0
55685051,M,3,541,1,104.4166358,1,STNWG,3.9589,38,2,0
92908631,F,4,533,3,144,4,STNWG,1.298,53,0,0
25505729,F,2,543,3,142.5,3,HBACK,0.858,41,2,833
68472464,M,4,613,1,58.1,3,HBACK,1.023,57,1,0
11339328,F,4,762,3,129,4,HBACK,0.792,55,0,930
97687943,M,3,623,3,104.4166358,4,STNWG,2.662,44,2,1403
42557384,M,2,607,2,125.9,1,TRUCK,2.398,34,0,0
78174841,F,4,679,1,81.3,3,HBACK,1.122,56,0,0
95681163,F,1,400,1,64.7,4,SEDAN,2.31,27,1,0
78077526,M,6,839,1,49.7,4,SEDAN,0.957,73,0,0
30982724,F,6,819,1,97.5,3,HBACK,0.858,84,0,2940
74986632,F,3,691,1,84.9,3,HDTOP,1.837,50,0,0
92315560,F,3,652,3,139.5,4,SEDAN,0.748,48,0,0
71645730,M,5,798,1,99.9,2,STNWG,4.312,66,1,1015
98321769,F,4,616,2,117.4,3,STNWG,3.542,56,0,2730
96207993,F,4,597,6,70,4,STNWG,1.804,58,0,0
67934845,F,3,627,4,87,4,TRUCK,1.045,53,2,0
61665518,M,4,629,1,67.7,1,SEDAN,2.684,55,0,0
28516245,F,6,850,3,145.5,3,SEDAN,1.243,83,0,1464
69190571,F,4,706,3,142.5,3,SEDAN,1.243,57,0,0
16743304,M,3,623,5,33,3,TRUCK,3.344,40,4,1324
96149025,F,1,514,1,67.7,4,HBACK,0.814,29,2,0
44379882,M,4,764,3,124.5,2,SEDAN,1.914,57,1,0
54493984,F,5,631,3,130.5,2,HBACK,2.002,67,1,0
73346420,M,5,604,2,121,2,SEDAN,1.551,65,2,2431
73892823,M,5,715,1,74,4,HBACK,1.463,68,0,0
75885335,F,3,422,3,147,3,HBACK,2.134,51,1,6602
52596134,F,3,594,2,143.7,3,SEDAN,1.122,47,1,2744
39457502,M,2,661.3218455,6,96,3,STNWG,2.772,36,1,132
41616745,M,4,625,4,129.4,3,STNWG,2.189,56,1,764
98379486,M,2,661.3218455,2,150.8,2,STNWG,3.542,41,3,12008
21858964,F,3,412,3,103.5,1,STNWG,3.377,48,0,547
51259447,F,2,696,3,141,2,HBACK,1.496,34,0,0
44136707,F,2,816,5,104.4166358,3,STNWG,2.585,40,0,0
52191324,M,3,664,1,92.7,2,HBACK,1.221,43,0,3212
28962186,F,1,620,1,82,2,STNWG,3.069,25,0,4760
24275484,F,2,661.3218455,4,110.2,2,SEDAN,1.859,37,1,0
95059136,F,5,809,1,71.3,4,STNWG,0.935,66,0,785
74993272,M,6,824,2,158.1,4,SEDAN,0.451,80,0,876
87481633,F,3,720,3,141,4,STNWG,0.517,50,0,0
70038997,M,5,433,4,133.6,2,SEDAN,2.365,71,2,852
29969491,M,5,754,4,110.4,4,PANVN,1.1,65,0,2752
23601469,F,3,635,4,127.3,2,SEDAN,2.156,49,4,27030
75879621,F,2,616,6,112,4,STNWG,2.024,35,0,0
